OID_,Region,GMUvalue,Unit,UnitSub,Major,MinorSpecific,UCU,GeoDetail,sqmiwater,Shape_Length,Shape_Area
222,1,1,01,01C,X27,2204,01CX272204,6,8.2356529,26511.179576299462497,21330243.258732855319977
223,1,1,01,01C,X27,2205,01CX272205,6,14.0623388,38292.648942675179569,36421289.532855793833733
224,1,1,01,01C,X28,2301,01CX282301,6,1.5437943,11409.159478325565942,3998408.679687500000000
225,1,1,01,01C,X28,2302,01CX282302,6,9.8468571,35797.928876790363574,25503242.984375000000000
226,1,1,01,01C,X28,2303,01CX282303,6,1.9491507,16367.596996181660870,5048277.070312500000000
227,1,1,01,01C,X28,2304,01CX282304,6,15.5323601,30398.963001744396024,40228627.640625000000000
228,1,1,01,01C,X28,2305,01CX282305,6,10.2978153,40312.301806152339850,26671218.796875000000000
229,1,1,01,01C,X28,2306,01CX282306,6,2.7843668,29491.083228610277729,7211476.812500000000000
230,1,1,01,01C,X28,2307,01CX282307,6,2.4892802,23216.893429056151945,6447206.093750000000000
231,1,1,01,01C,X28,2308,01CX282308,6,0.4871541,4664.543574676645221,1261723.421875000000000
232,1,1,01,01C,X28,2310,01CX282310,6,9.3677359,31016.696874255529110,24262325.039062500000000
233,1,1,01,01C,X28,2313,01CX282313,6,4.0025043,23477.790069196733384,10366438.132812500000000
234,1,1,01,01C,X28,2314,01CX282314,6,41.0828209,66882.336952756217215,106404014.273437500000000
235,1,1,01,01C,X28,2401,01CX282401,6,10.9300976,46834.820131856933585,28308823.593750000000000
236,1,1,01,01C,X28,2402,01CX282402,6,9.4605303,37356.217780608014436,24502661.359375000000000
237,1,1,01,01C,X28,2403,01CX282403,6,8.2902222,76765.745143538355478,21471576.164062500000000
238,1,1,01,01C,X28,2404,01CX282404,6,8.2990475,72631.892146941798273,21494433.273437500000000
239,1,1,01,01C,X28,2501,01CX282501,6,34.7966957,98129.421067755058175,90123023.265625000000000
240,1,1,01,01C,X28,2502,01CX282502,6,22.9155388,60549.958802500455931,59350971.500000000000000
241,1,1,01,01C,X28,2503,01CX282503,6,15.7822704,112429.555119355631177,40875893.988281250000000
242,1,1,01,01C,X28,2504,01CX282504,6,14.0721292,78088.284796038831701,36446647.925781250000000
243,1,1,01,01C,X29,2601,01CX292601,6,24.7665558,39305.711597013520077,64145085.667968750000000
244,1,1,01,01C,X29,2602,01CX292602,6,12.9182587,32949.657717614543799,33458136.433593750000000
